"","pmRA","pmDEC","i_K","Y","J","H","K","ps","pb","RA","Dec","err_RA","err_Dec"
"V15316",24.9536914825439,-15.5155916213989,NA,15.2674684524536,14.6642045974731,14.0509471893311,13.7276782989502,0.111059156465707,3.94482865262447e-08,59.8154699499455,20.3416372188223,5.807052e-07,5.807052e-07
"V5308",12.9481801986694,-23.4826946258545,NA,15.3354368209839,14.7666473388672,14.2722434997559,13.9532680511475,0.110881961873805,1.31777543526113e-05,61.4231924681173,27.7256166636699,8.1904534e-07,8.1904534e-07
"V3838",4.92477512359619,-16.7408885955811,NA,14.307806968689,13.7602624893188,13.0944375991821,12.8662021255493,0.110741582615177,0.00730081700698104,61.6849392089769,26.4657222679205,1.2641831e-06,1.2641831e-06
"V30131",6.92701864242554,-12.5815095901489,NA,NA,12.1704272842407,11.5520000457764,11.3233373260498,0.110659088493148,2.11913686598564e-09,56.5936034097023,24.1221992450181,2.846694e-07,2.846584e-07
"V8637",22.0739669799805,-17.2081108093262,NA,14.8238430023193,14.2758913040161,13.59814453125,13.3191757202148,0.110602367034979,2.44958615391866e-07,62.2343123367053,21.2498115738913,7.493439e-07,7.4914306e-07
"V13188",28.5731182098389,-20.2931327819824,NA,14.9855470657349,14.4645652770996,13.8323173522949,13.543360710144,0.110534271074379,1.22138443203745e-06,54.6102943859112,19.6967292909756,1.2404827e-07,1.2404827e-07
"V8991",-2.30298209190369,-29.8001804351807,NA,14.3393297195435,13.8451700210571,13.199444770813,13.006142616272,0.110516736419876,0.000914980184375747,52.5025931907679,22.0773145233608,5.240097e-07,5.240097e-07
"V8791",23.1875038146973,-19.4875583648682,NA,13.9441413879395,13.4453105926514,12.7787784957886,12.6285836791992,0.11037678560689,5.46382156763059e-06,61.4389360977677,25.4828016008525,1.0424577e-06,1.0424577e-06
"V4279",21.2035751342773,-22.1518650054932,NA,13.4341707229614,12.9623927688599,12.3193792724609,12.1988856887817,0.110330751914743,0.00215404239113437,55.0015194493096,26.8606368923573,2.029609e-06,2.0256282e-06
"V9097",45.6223335266113,-27.1675033569336,NA,NA,14.6490001678467,14.0659999847412,13.8030004501343,0.110276117035292,0.00418119526388017,52.5078462587781,19.5738129615368,1.738248e-06,1.738248e-06
"V4990",17.3488483428955,-21.1162223815918,NA,15.8406772613525,15.2067956924438,14.6423034667969,14.3183794021606,0.110199127271616,3.32702979533028e-06,54.9609064880762,28.372775057319,7.2776453e-07,7.275862e-07
"V3345",-24.4943656921387,-12.1973266601562,NA,14.3407764434814,13.8324880599976,13.2190961837769,12.9347627258301,0.110184814868466,0.0191753280456662,54.0736505978802,27.4183335334129,3.545259e-06,3.545259e-06
"V26563",34.677562713623,-27.6065616607666,NA,15.7908353805542,15.2215156555176,14.6367044448853,14.3122625350952,0.110179785838667,1.27430614222934e-05,59.4564449167969,20.0460226273216,4.4079778e-07,4.4073033e-07
"V13104",21.8975887298584,-12.9514999389648,NA,15.2887401580811,14.6840591430664,14.0972032546997,13.7300233840942,0.110179783465394,1.8901244791536e-08,53.4322492395759,23.0998529884728,9.1138287e-07,9.1134837e-07
"V4113",13.443507194519,-24.8377418518066,NA,15.9476833343506,15.3253374099731,14.6832466125488,14.3563175201416,0.110100548916314,0.00019720571732873,57.7549408636653,19.6129953556084,9.24918e-07,9.24918e-07
"V6017",22.237886428833,-16.8778457641602,NA,15.1317567825317,14.5418109893799,13.9308338165283,13.6364345550537,0.109935503799863,8.26901103079258e-06,52.5185838695294,20.9896386982949,8.286464e-07,8.283748e-07
"V4303",27.2837886810303,-32.4002380371094,NA,13.1825532913208,12.7370957946777,12.16100025177,12.0247399902344,0.10978598314893,0.0117191842190191,57.9083714658653,27.8824979123059,9.264296e-07,9.264296e-07
"V27471",-17.5828647613525,-36.1330108642578,NA,15.1613464355469,14.5851268768311,14.0841608047485,13.7366065979004,0.109775511140414,0.016207101844861,56.1195440808347,29.5559001925987,1.025915e-06,1.025915e-06
"V84870",15.0114774703979,2.78629660606384,NA,17.1842308044434,16.3273391723633,15.7284517288208,15.2307271957397,0.109684999307283,0,58.5324042591935,27.6980884588516,1.0238583e-06,1.0238404e-06
